TranDate,Account,Department,Amount
02/01/2008,61510,150,($20.82)
02/01/2008,61520,150,($44.06)
02/01/2008,61530,150,($8.48)
02/01/2008,61540,150,($0.23)
02/01/2008,61550,150,($38.41)
02/01/2008,61560,150,($1.08)
02/01/2008,61570,150,($61.63)
02/01/2008,62010,150,($244.76)
02/01/2008,62020,150,($76.12)
02/01/2008,62099,150,$7.03 
02/01/2008,62510,120,($45.39)
02/01/2008,62520,120,($32.98)
02/01/2008,62530,120,($2.78)
02/01/2008,62550,120,($7.17)
02/01/2008,62560,120,($0.37)
02/01/2008,63050,150,($5.74)
02/01/2008,64000,150,$149.41 
02/01/2008,64010,150,$10.98 
02/01/2008,64020,150,$3.72 
02/01/2008,65540,110,($54.69)
02/01/2008,65550,110,($6.97)
02/01/2008,65590,110,($3.51)
02/01/2008,65600,110,($11.99)
02/01/2008,65610,110,($3.24)
02/01/2008,65690,110,($11.60)
02/01/2008,65700,110,($3.79)
02/01/2008,65710,110,($505.74)
02/01/2008,65730,110,($13.50)
02/01/2008,65740,110,($372.47)
02/01/2008,65750,110,($572.84)
02/01/2008,65760,110,($5.64)
02/01/2008,66010,130,($0.62)
02/01/2008,66020,130,($9.34)
02/01/2008,66030,130,($0.51)
02/01/2008,66040,130,($0.81)
02/01/2008,66050,130,($36.67)
02/01/2008,66070,130,($0.97)
02/01/2008,66080,130,($0.68)
02/01/2008,66100,130,($4.86)
02/01/2008,66110,130,($0.54)
02/01/2008,66120,130,($2.03)
02/01/2008,66130,130,($65.81)
02/01/2008,66510,140,($5.19)
02/01/2008,66520,140,($3.24)
02/01/2008,66530,140,($3.51)
02/01/2008,68050,170,($2.25)
02/02/2008,61510,150,($27.77)
02/02/2008,61520,150,($58.74)
02/02/2008,61530,150,($11.31)
02/02/2008,61540,150,($0.31)
02/02/2008,61550,150,($51.22)
02/02/2008,61560,150,($1.44)
02/02/2008,61570,150,($82.17)
02/02/2008,62010,150,($326.34)
02/02/2008,62020,150,($101.50)
02/02/2008,62099,150,$9.38 
02/02/2008,62510,120,($60.52)
02/02/2008,62520,120,($43.97)
02/02/2008,62530,120,($3.71)
02/02/2008,62550,120,($9.56)
02/02/2008,62560,120,($0.49)
02/02/2008,63050,150,($7.65)
02/02/2008,64000,150,$199.21 
02/02/2008,64010,150,$14.65 
02/02/2008,64020,150,$4.96 
02/02/2008,65540,110,($72.92)
02/02/2008,65550,110,($9.29)
02/02/2008,65590,110,($4.68)
02/02/2008,65600,110,($15.98)
02/02/2008,65610,110,($4.32)
02/02/2008,65690,110,($15.46)
02/02/2008,65700,110,($5.05)
02/02/2008,65710,110,($674.33)
02/02/2008,65730,110,($18.00)
02/02/2008,65740,110,($496.63)
02/02/2008,65750,110,($763.78)
02/02/2008,65760,110,($7.52)
02/02/2008,66010,130,($0.83)
02/02/2008,66020,130,($12.46)
02/02/2008,66030,130,($0.68)
02/02/2008,66040,130,($1.08)
02/02/2008,66050,130,($48.90)
02/02/2008,66070,130,($1.30)
02/02/2008,66080,130,($0.90)
02/02/2008,66100,130,($6.48)
02/02/2008,66110,130,($0.72)
02/02/2008,66120,130,($2.70)
02/02/2008,66130,130,($87.75)
02/02/2008,66510,140,($6.92)
02/02/2008,66520,140,($4.32)
02/02/2008,66530,140,($4.68)
02/02/2008,68050,170,($3.00)
02/03/2008,61510,150,($110.41)
02/03/2008,61520,150,($231.85)
02/03/2008,61530,150,($59.46)
02/03/2008,61540,150,($1.79)
