TranDate,Account,Department,Amount
01/02/2008,61510,150,($26.03)
01/02/2008,61520,150,($55.07)
01/02/2008,61530,150,($10.60)
01/02/2008,61540,150,($0.29)
01/02/2008,61550,150,($48.02)
01/02/2008,61560,150,($1.35)
01/02/2008,61570,150,($77.04)
01/02/2008,62010,150,($305.95)
01/02/2008,62020,150,($95.15)
01/02/2008,62099,150,$8.79 
01/02/2008,62510,120,($56.74)
01/02/2008,62520,120,($41.22)
01/02/2008,62530,120,($3.48)
01/02/2008,62550,120,($8.97)
01/02/2008,62560,120,($0.46)
01/02/2008,63050,150,($7.17)
01/02/2008,64000,150,$186.76 
01/02/2008,64010,150,$13.73 
01/02/2008,64020,150,$4.65 
01/02/2008,65540,110,($68.36)
01/02/2008,65550,110,($8.71)
01/02/2008,65590,110,($4.39)
01/02/2008,65600,110,($14.99)
01/02/2008,65610,110,($4.05)
01/02/2008,65690,110,($14.50)
01/02/2008,65700,110,($4.73)
01/02/2008,65710,110,($632.18)
01/02/2008,65730,110,($16.88)
01/02/2008,65740,110,($465.59)
01/02/2008,65750,110,($716.05)
01/02/2008,65760,110,($7.05)
01/02/2008,66010,130,($0.78)
01/02/2008,66020,130,($11.68)
01/02/2008,66030,130,($0.64)
01/02/2008,66040,130,($1.01)
01/02/2008,66050,130,($45.84)
01/02/2008,66070,130,($1.22)
01/02/2008,66080,130,($0.85)
01/02/2008,66100,130,($6.08)
01/02/2008,66110,130,($0.68)
01/02/2008,66120,130,($2.53)
01/02/2008,66130,130,($82.27)
01/02/2008,66510,140,($6.49)
01/02/2008,66520,140,($4.05)
01/02/2008,66530,140,($4.39)
01/02/2008,68050,170,($2.81)
01/03/2008,61510,150,($26.03)
01/03/2008,61520,150,($55.07)
01/03/2008,61530,150,($10.60)
01/03/2008,61540,150,($0.29)
01/03/2008,61550,150,($48.02)
01/03/2008,61560,150,($1.35)
01/03/2008,61570,150,($77.04)
01/03/2008,62010,150,($305.95)
01/03/2008,62020,150,($95.15)
01/03/2008,62099,150,$8.79 
01/03/2008,62510,120,($56.74)
01/03/2008,62520,120,($41.22)
01/03/2008,62530,120,($3.48)
01/03/2008,62550,120,($8.97)
01/03/2008,62560,120,($0.46)
01/03/2008,63050,150,($7.17)
01/03/2008,64000,150,$186.76 
01/03/2008,64010,150,$13.73 
01/03/2008,64020,150,$4.65 
